nt_frac,cov_cf_mean,cov_cf_std,size_cf_mean,size_cf_std,cov_adjF_mean,cov_adjF_std,size_adjF_mean,size_adjF_std,nt_sub_mean
0.1,0.90452,0.004309627465209582,3.68388,0.07467340445790144,0.901,0.004832988493445609,3.72725,0.06161803938602545,1225.0
0.2,0.90228,0.003545200198076915,3.55548,0.06179222892529095,0.9001300000000001,0.0034428831586977133,3.6987200000000002,0.05456624516228972,2450.0
0.3,0.90183,0.0033300150149811435,3.50238,0.05850864703424434,0.9017799999999999,0.0035866418834335683,3.7231099999999997,0.057968582487029574,3675.0
0.4,0.9018,0.004198147739711462,3.46869,0.07067513235455122,0.90087,0.002936759362895707,3.70711,0.027415626120071642,4900.0
0.5,0.9029399999999999,0.004552215577789207,3.45699,0.07230351843290739,0.90107,0.0031372493259754206,3.70612,0.03879483929024014,6124.0
0.6,0.90343,0.003467003188794477,3.45173,0.06266604698275172,0.9011699999999999,0.0023376388847629096,3.7050899999999998,0.020057331715748115,7349.0
0.7,0.90276,0.00256696967908336,3.43018,0.04264381679811407,0.9002000000000001,0.002602989734047344,3.69298,0.03218549707899871,8574.0
0.8,0.9031600000000001,0.003242495609523282,3.4290999999999996,0.059666052138362395,0.9004099999999999,0.002243236748787603,3.6996899999999995,0.02121987799734538,9799.0
0.9,0.90321,0.003949247466993635,3.42537,0.057700164644479156,0.9007099999999999,0.0027257822526549655,3.7050399999999994,0.02881744070678187,11024.0
1.0,0.90289,0.0035218208674238707,3.41041,0.055501720694046984,0.90066,0.0024900691645904976,3.7035299999999998,0.0272293571148658,12249.0
