nt_frac,cov_lr_mean,cov_lr_std,size_lr_mean,size_lr_std,cov_mlp_mean,cov_mlp_std,size_mlp_mean,size_mlp_std,cov_adjF_mean,cov_adjF_std,size_adjF_mean,size_adjF_std,nt_sub_mean
0.1,0.90636,0.00684638590790793,16.969060000000002,0.6286242582019874,0.9077400000000001,0.004009738146063911,18.50942,0.8083570201340496,0.8909,0.0033548472394432653,11.32594,0.35475287595733435,1225.0
0.2,0.9084,0.0066531947213349886,14.83742,0.9651248038466317,0.90556,0.0022489997776789497,15.21574,0.4925580554614853,0.89358,0.0041577638220562565,11.314499999999999,0.21972101629111412,2450.0
0.3,0.9105000000000001,0.003000833217624768,14.6103,0.6175780922280194,0.90678,0.004778807382600817,13.9757,0.44795700128472155,0.8973800000000001,0.004296742952516536,11.451080000000001,0.1228820857570377,3675.0
0.4,0.9107,0.006476881965884525,13.82798,0.6214175222827248,0.90852,0.004925139591930396,13.430359999999999,0.46116154761645095,0.89886,0.002946693061721836,11.4367,0.12978110417160066,4900.0
0.5,0.9056000000000001,0.00772528316633119,13.44322,0.6828496115544044,0.9068400000000001,0.004795101667326814,13.152260000000002,0.7326818122486733,0.8993399999999999,0.0037333630951194062,11.4563,0.1077359271552438,6124.0
0.6,0.90988,0.006396248900722983,13.42446,0.9516384124235419,0.90676,0.004405451168722668,12.384780000000001,0.5730487125890783,0.89932,0.00499969999099939,11.39086,0.281907277309402,7349.0
0.7,0.9077400000000001,0.007740994768116049,13.00592,0.8724943163138656,0.9045,0.004657789175134463,12.33654,0.5898363823976954,0.89992,0.005048960289009977,11.46608,0.1776960804294799,8574.0
0.8,0.90662,0.004827732386949345,12.797839999999999,0.7106134272584497,0.90556,0.004854173462083915,12.08634,0.41055153513292336,0.9006000000000001,0.004732335575590562,11.485679999999999,0.19781015393553497,9799.0
0.9,0.90632,0.005604194857426025,12.68602,0.6444791788723666,0.9065799999999999,0.004447696032779179,12.21174,0.553965728181807,0.89998,0.004566399018920703,11.43704,0.18049715510223377,11024.0
1.0,0.9077,0.006850182479321263,12.5765,0.6694315760404496,0.9053000000000001,0.005452522352086215,11.82574,0.5204685706169005,0.8996000000000001,0.004762877281643941,11.41336,0.17003878381122303,12249.0
